#,id,date_time,open,close,low,high,volume,pair_id
309,10363155,2016-06-04 07:00:00.000000,565.1171004,574.49999999,560.00000003,592.17,263136.44789051,83
310,10363156,2016-06-05 07:00:00.000000,573,577.59999985,570,583.5,79908.90825906,83
311,10363157,2016-06-06 07:00:00.000000,577.01,584.00999998,574.06772283,586.01,92130.47835135,83
312,10363158,2016-06-07 07:00:00.000000,584.00999998,576,560.102,589,163525.70310898,83
313,10363159,2016-06-08 07:00:00.000000,578,583.12345678,569.1,583.12345678,52595.21104132,83
314,10363160,2016-06-09 07:00:00.000000,580.00003756,579.96999999,567.62649842,582.46999999,52841.78115776,83
315,10363161,2016-06-10 07:00:00.000000,576,579.13,573,579.99999999,50429.56938489,83
316,10363162,2016-06-11 07:00:00.000000,579.13,597,579.13,597,93658.1857426,83
317,10363163,2016-06-12 07:00:00.000000,597,666.96500001,594,683,504576.05826483,83
318,10363164,2016-06-13 07:00:00.000000,666.96500001,693,653.57765611,700.64880369,716875.95441873,83
319,10363165,2016-06-14 07:00:00.000000,691.99999999,674,585,698.9,1013464.8695996,83
320,10363166,2016-06-15 07:00:00.000000,672.54241495,691.999,662.33,697.546,375147.26561355,83
321,10363167,2016-06-16 07:00:00.000000,691.999,764,690.50989865,774.767,1064094.8533995,83
322,10363168,2016-06-17 07:00:00.000000,764,747,687.01,770.99999999,2372250.7186427,83
